full_name,Country,National_party,political_group,role
Ruth HIERONYMI,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Juan de Dios IZQUIERDO COLLADO,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Rumiana JELEVA,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Member
Kirsten M. JENSEN,Denmark,Socialdemokratiet,Group of the Party of European Socialists,Substitute
Oriol JUNQUERAS I VIES,Spain,Europa de los Pueblos-Verdes,Non-attached Members,Member
Gisela KALLENBACH,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
Konstantinos KALLIAS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Member
Anna KARAMANOU,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Gabriel KASPEREIT,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Liam KAVANAGH,Ireland,Labour Party,Socialist Group,Vice-Chair
Tchetin KAZAK,Bulgaria,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Filotas KAZAZIS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Member
Michael L. KILBY,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Robert KILROY-SILK,United Kingdom,UK Independence Party,Non-attached Members,Member
Gorka KNÖRR BORRÀS,Spain,Eusko Alkartasuna,Group of the Greens/European Free Alliance,Substitute
Karsten KNOLLE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Albrecht Karl KONECNY,Austria,Sozialdemokratische Partei Österreichs,Group of the Party of European Socialists,Substitute
Christoph KONRAD,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Ole KRARUP,Denmark,Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left,Substitute
Aldis KUŠĶIS,Latvia,Jaunais laiks,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Odile LEPERRE-VERRIER,France,Mouvement des Radicaux de Gauche,Group of the European Radical Alliance,Member
Kartika Tamara LIOTARD,Netherlands,Socialistische Partij,Confederal Group of the European United Left - Nordic Green Left,Member
Baroness Sarah LUDFORD,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Petru Constantin LUHAN,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Substitute
Astrid LULLING,Luxembourg,Parti chrétien social,Group of the European People's Party (Christian Democrats),Member
Elizabeth LYNNE,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Substitute
George LYON,United Kingdom,Liberal Democrats Party,Group of the Alliance of Liberals and Democrats for Europe,Vice-Chair
Arlene McCARTHY,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Edward MCMILLAN-SCOTT,United Kingdom,Conservative and Unionist Party,Group of the Alliance of Liberals and Democrats for Europe,Member
Barry MADLENER,Netherlands,Partij voor de Vrijheid,Non-attached Members,Member
Antonius MANDERS,Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the European People's Party (Christian Democrats),Member
Riikka PAKARINEN,Finland,Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Bogdan Kazimierz MARCINKIEWICZ,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Substitute
Hans-Peter MARTIN,Austria,parteilos,Non-attached Members,Member
Miguel Angel MARTÍNEZ MARTÍNEZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Antonio MASIP HIDALGO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Clemente MASTELLA,Italy,Unione Democratici per l'Europa,Group of the European People's Party (Christian Democrats),Member
Véronique MATHIEU HOUILLON,France,"Chasse, Pêche, Nature, Traditions",Group of the European People's Party (Christian Democrats),Member
Iosif MATULA,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Member
Mario MAURO,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Substitute
Kyriakos MAVRONIKOLAS,Cyprus,Movement for Social Democracy EDEK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Hans-Peter MAYER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Jaime MAYOR OREJA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Erminia MAZZONI,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Chair
Emilio MENÉNDEZ del VALLE,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Judith A. MERKIES,Netherlands,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Alajos MÉSZÁROS,Slovakia,Strana mad'arskej komunity- Magyar Közösség Pártja,Group of the European People's Party (Christian Democrats),Member
Marek Henryk MIGALSKI,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Member
Guido MILANA,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Alexander MIRSKY,Latvia,"Politisko partiju apvienība ""Saskaņas centrs""",Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Gay MITCHELL,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Member
Andreas MÖLZER,Austria,Freiheitliche Partei Österreichs,Non-attached Members,Member
Vital MOREIRA,Portugal,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Chair
Claudio MORGANTI,Italy,Lega Nord,Europe of freedom and democracy Group,Substitute
Radvilė MORKŪNAITĖ-MIKULĖNIENĖ,Lithuania,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats),Member
Tiziano MOTTI,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),Member
María MUÑIZ DE URQUIZA,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Cristiana MUSCARDINI,Italy,Movimento sociale italiano - Destra nazionale,European Conservatives and Reformists Group,Vice-Chair
Mike NATTRASS,United Kingdom,UK Independence Party,Non-attached Members,Member
Katarína ROTH NEVEĎALOVÁ,Slovakia,SMER-Sociálna demokracia,Non-attached Members,Substitute
Bill NEWTON DUNN,United Kingdom,Conservative and Unionist Party,Renew Europe Group,Member
Nadezhda NEYNSKY,Bulgaria,Blue Coalition,Group of the European People's Party (Christian Democrats),Substitute
Rareș-Lucian NICULESCU,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats),Substitute
Sławomir NITRAS,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Substitute
Raimon OBIOLS,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Kristiina OJULAND,Estonia,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Wojciech Michał OLEJNICZAK,Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Ria OOMEN-RUIJTEN,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),Member
Csaba ŐRY,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats),Member
Miroslav OUZKÝ,Czechia,Občanská demokratická strana,European Conservatives and Reformists Group,Substitute
Siiri OVIIR,Estonia,Eesti Keskerakond,Group of the Alliance of Liberals and Democrats for Europe,Member
Doris PACK,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Chair
Justas Vincas PALECKIS,Lithuania,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Chrysoula PALIADELI,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Alfredo PALLONE,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Member
Vladko Todorov PANAYOTOV,Bulgaria,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,Member
Antigoni PAPADOPOULOU,Cyprus,Democratic Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Georgios PAPANIKOLAOU,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Substitute
Georgios PAPASTAMKOS,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats),Substitute
Antonyia PARVANOVA,Bulgaria,National Movement Simeon II,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Jaroslav PAŠKA,Slovakia,Slovenská národná strana,Europe of freedom and democracy Group,Substitute
Maria do Céu PATRÃO NEVES,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Andrés PERELLÓ RODRÍGUEZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Mario PIRILLO,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Rovana PLUMB,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Anni PODIMATA,Greece,Panellinio Socialistiko Kinima,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Miguel PORTAS,Portugal,Bloco de Esquerda,Confederal Group of the European United Left - Nordic Green Left,Substitute
Bernd POSSELT,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),Member
Hans-Gert PÖTTERING,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Konstantinos POUPAKIS,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Substitute
Vittorio PRODI,Italy,Uniti nell'Ulivo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Jacek PROTASIEWICZ,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Substitute
Fiorello PROVERA,Italy,Lega Nord,Europe of freedom and democracy Group,Vice-Chair
Bernhard RAPKAY,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Sylvana RAPTI,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Britta REIMERS,Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Vladimír REMEK,Czechia,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,Substitute
Mitro REPO,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Teresa RIERA MADURELL,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Niccolò RINALDI,Italy,Italia dei Valori - Lista Di Pietro,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Crescenzio RIVELLINI,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Substitute
Zuzana ROITHOVÁ,Czechia,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),Substitute
Carmen ROMERO LÓPEZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Raül ROMEVA i RUEDA,Spain,Izquierda Unida - Iniciativa Per Catalunya Verds - Esquerra Unida í Alternativa,Group of the Greens/European Free Alliance,Substitute
