full_name,Country,National_party,political_group,role
Giuseppe SCHIAVINATO,Italy,Partito repubblicano italiano,Liberal and Democratic Reformist Group,Substitute
Lydie SCHMIT,Luxembourg,Parti ouvrier socialiste luxembourgeois,Socialist Group,Member
Heinz SCHMITT,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Hans-Günter SCHODRUCH,Germany,Die Republikaner,Technical Group of the European Right,Member
Frank SCHWALBA-HOTH,Germany,Bündnis 90/die Grünen,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Member
Léon SCHWARTZENBERG,France,apparenté Parti socialiste,Group of the Party of European Socialists,Member
Sir James SCOTT-HOPKINS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Member
Leonardo SCIASCIA,Italy,Partito radicale,Group for the Technical Coordination and Defence of Independent Groups and Members,Member
Sergio Camillo SEGRE,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Maurice-René SIMONNET,France,Union pour la France en Europe,Group of the European People's Party (Christian-Democratic Group),Member
Anthony M.H. SIMPSON,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Sven SKOVMAND,Denmark,Folkebevægelsen mod EF,Group for the Technical Coordination and Defence of Independent Groups and Members,Member
James W. SPICER,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Paul M.J. STAES,Belgium,Anders gaan leven,The Green Group in the European Parliament,Member
Ioannis STAMOULIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Vice-Chair
Bernard STASI,France,Union pour la démocratie française - Centre des démocrates sociaux,Group of the European People's Party (Christian-Democratic Group),Substitute
Carlo STELLA,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Konstantinos STAVROU,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Per STENMARCK,Sweden,Moderata samlingspartiet,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Kenneth A. STEWART,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Marie-France STIRBOIS,France,Front national,Non-attached,Member
Jean-Pierre STIRBOIS,France,Front national,Group of the European Right,Member
Frédéric STRIBY,France,Majorité pour l'autre Europe,Group of Independents for a Europe of Nations,Member
Georges SUTRA DE GERMA,France,Parti socialiste,Socialist Group,Vice-Chair
Hughes TATILON,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,
